"title","subtitle","location"
"Gesetzliche Vertretung von unbegleiteten minderjährigen Flüchtlingen (UMF) in Vorarlberg","Rechtsberatung","Dornbirn"
"Gästehaus Friedheim","","Seeboden"
"Handy, Laptop & Co.","Besuchsdienst","Salzburg"
"Haus Abendfrieden","Hausgemeinschaften / Kurzzeitpflege / Pflegeeinrichtung / Haus für Senioren","Gallneukirchen"
"Haus Abendruh","Kurzzeitpflege / Palliative Care / Pflegeeinrichtung / Psychologische Begleitung / Seelsorge / Haus für Senioren","Feldkirchen"
"Haus am Ruckerlberg","Hausgemeinschaften / Kurzzeitpflege / Pflegeeinrichtung / Haus für Senioren","Graz"
"Haus Bethesda","Kurzzeitpflege / Palliative Care / Pflegeeinrichtung / Psychologische Begleitung / Seelsorge / Haus für Senioren","Spittal/Drau"
"Haus Elim","Kurzzeitpflege / Palliative Care / Pflegeeinrichtung / Psychologische Begleitung / Seelsorge / Haus für Senioren / Wohnen im Alter für Menschen mit Behinderungen","Treffen"
"Haus Elisabeth","Pflegeeinrichtung / Haus für Senioren","Gallneukirchen"
"Haus Elvine","Kurzzeitpflege / Palliative Care / Pflegeeinrichtung / Psychologische Begleitung / Seelsorge / Haus für Senioren","Treffen"
"Haus für Senioren Bad Zell","Hausgemeinschaften / Kurzzeitpflege / Pflegeeinrichtung / Haus für Senioren","Bad Zell"
"Haus für Senioren Henndorf","Hausgemeinschaften / Pflegeeinrichtung / Haus für Senioren","Henndorf am Wallersee"
"Haus für Senioren Linz","Hausgemeinschaften / Pflegeeinrichtung / Haus für Senioren","Linz"
"Haus für Senioren Mauerkirchen","Hausgemeinschaften / Kurzzeitpflege / Pflegeeinrichtung / Haus für Senioren","Mauerkirchen"
"Haus für Senioren Salzburg","Haus für Senioren","Salzburg"
"Haus für Senioren Svätý Jur","Haus für Senioren","Svätý Jur, Slowakei"
"Haus für Senioren Wels","Hausgemeinschaften / Pflegeeinrichtung / Haus für Senioren","Bezirke: Das Haus für Senioren Wels befindet sich ganz in der Nähe des Hauptbahnhofs Wels"
"Haus Harbach","Kurzzeitpflege / Palliative Care / Pflegeeinrichtung / Psychologische Begleitung / Seelsorge / Haus für Senioren","Klagenfurt"
"Haus Herrnhilf","Wohngruppen / Wohngemeinschaft","Treffen"
"Haus Maria Gail","Kurzzeitpflege / Palliative Care / Pflegeeinrichtung / Psychologische Begleitung / Seelsorge / Haus für Senioren","Villach"
"Haus Neu Albern","Grundversorgung / Betreutes Wohnen","Wien"
"Haus St. Peter","Kurzzeitpflege / Demenzberatung / Palliative Care / Pflegeeinrichtung / Psychologische Begleitung / Seelsorge / Haus für Senioren","Klagenfurt"
"Haus Wildbacher Straße","Wohngruppen / Betreutes Wohnen / Alltagsbegleitung","Deutschlandsberg"
"Hausgemeinschaften Erdbergstraße","Hausgemeinschaften / Haus für Senioren","Wien"
"Hauskrankenpflege Oberschützen","Mobile Dienste","Oberschützen"
"Heilpädagogische Kindergruppen","Wohngruppen / Diagnostik / Psychologische Begleitung / Psychotherapie / Kinder- und Jugendpsychiatrie / Therapie / Wohngemeinschaft","Linz"
"Heilsarmee Abstinenz-Wohngemeinschaften","Sucht / Wohnungslosenhilfe","Wien"
"Heilsarmee Chancenhaus SalztorZentrum","Wohnungslosenhilfe","Wien"
"Heilsarmee Haus Erna","Wohnungslosenhilfe","Wien"
"Heilsarmee Mobil Betreutes Wohnen","Wohnungslosenhilfe","Wien"
"Heilsarmee Quartier Wintergarten","Wohnungslosenhilfe","Wien"
"Heilsarmee Soziales Wohnungsmanagement","Wohnungslosenhilfe","Wien"
"Heilsarmee Wiener Wohngemeinschaften","Wohnungslosenhilfe","Wien"
"Hilfsverein der Baptisten - Kinder- und Jugendwerk","","Wien"
"HLPS - Höhere Lehranstalt für Pflege und Sozialbetreuung","Berufsbildende Schule / Höhere Lehranstalt für Sozialbetreuung und Pflege","Villach"
"HLPS Höhere Lehranstalt für Pflege und Sozialbetreuung Gallneukirchen","Berufsbildende Schule / Höhere Lehranstalt für Sozialbetreuung und Pflege","Gallneukirchen"
"Hof Altenberg","Werkstätten","Altenberg bei Linz"
"Hort Gallneukirchen","Bildungsangebote / Hort","Gallneukirchen"
"Hospiz macht Schule","Palliative Care / Hospiz / Trauerhilfe","Klagenfurt"
"Hospiz- und Trauerbegleitung Feldkirchen","","Feldkirchen"
"Hospiz- und Trauerbegleitung Friesach","","Friesach"
"Hospiz- und Trauerbegleitung Hermagor","","Hermagor"
"Hospiz- und Trauerbegleitung Himmelberg","","Himmelberg"
"Hospiz- und Trauerbegleitung Hohenthurn","","Arnoldstein"
"Hospiz- und Trauerbegleitung Klagenfurt","","Klagenfurt"
"Hospiz- und Trauerbegleitung Lieser-Maltatal","","Lieser-/ Maltatal"
"Hospiz- und Trauerbegleitung Mölltal FamiliJA","","Obervellach"
"Hospiz- und Trauerbegleitung Oberes Lavanttal","","Bad St. Leonhard"
"Hospiz- und Trauerbegleitung St.Veit","","St.Veit"
"Hospiz- und Trauerbegleitung Viktring","","Klagenfurt-Viktring"
"Hospiz- und Trauerbegleitung Villach-Velden","","Villach"
"Hospiz- und Trauerbegleitung Wolfsberg","","Wolfsberg"
"Hospizakademie","Palliative Care / Trauerhilfe / Weiterbildungsakademien","Klagenfurt"
"Hospizbewegung Diakonie","Palliative Care / Trauerhilfe","Klagenfurt"
"Hospizteam für Menschen mit Behinderungen","Palliative Care / Trauerhilfe","Klagenfurt"
"Hospizteam Spittal/ Oberes Drautal","","Spittal an der Drau"
"Hospizteam Völkermarkt-Bleiburg","","Völkermarkt"
"Hotel Waldheimat","Betriebe / Integrative Beschäftigung / Gastronomie","Gallneukirchen"
"Häferl","Sozialberatung / Wohnungslosenhilfe","Wien"
"IBW Ernst Schwarz Weg","Wohngruppen / Wohnen für Menschen im Autismusspektrum / Betreutes Wohnen / Wohngemeinschaft","Feldkirchen"
"IBZ Amstetten","Sozialberatung / Integrationsarbeit","Amstetten"
"IBZ Bischofshofen","Sozialberatung / Integrationsarbeit","Bischofshofen"
"IBZ Imst","Sozialberatung / Integrationsarbeit","Imst"
